"","description","grade","totalVal"
"686","OLEODUCTO CENTRA","all",500
"687","PDC ENERGY INC","all",500
"688","PETRONAS","all",500
"689","PHI INC","all",500
"690","RSP Permian Inc","all",500
"691","SOUTHWEST GAS CP","all",500
"692","STATOILHYDRO","all",500
"693","PIPELINE FUNDING","all",493.6
"694","PTTEP CANADA INT","all",490
"695","ALTA MESA HLDGS","all",450
"696","DIAMONDBACK ENER","all",450
"697","MIDCONTINENT EXP","all",450
"698","NATIONAL FUEL GA","all",450
"699","PARAMOUNT RES","all",450
"700","PETROLEUM GEO","all",450
"701","SEVENTY SEVEN","all",450
"702","SOUTHERN STAR","all",450
"703","TEXAS EAST TRANS","all",450
"704","TRINIDAD DRILL","all",450
"705","TEXAS GAS TRANSM","all",440
"706","EV ENERGY PT/FIN","all",426
"707","EXCO RESOURCES","all",421.6
"708","SABINE PASS LNG","all",420
"709","CGG SA","all",419.4
"710","TRIANGLE USA","all",415.9
"711","BRISTOW GROUP IN","all",401.5
"712","FORUM ENERGY TEC","all",400
"713","LASMO (USA) INC","all",400
"714","MATADOR RESOURC","all",400
"715","NATIONAL GAS","all",400
"716","RESOLUTE ENERGY","all",400
"717","SOUTHEAST SUPPLY","all",400
"718","MRT MID PART/FIN","all",383.6
"719","VANGUARD NAT RES","all",381.8
"720","KCA DEUTAG UK FI","all",375
"721","CANBRIAM ENERGY","all",350
"722","COMPRESSCO PARTN","all",350
"723","LBC TANK TERMINA","all",350
"724","NORTHERN TIER EN","all",350
"725","PANCANADIAN PETL","all",350
"726","TEINE ENERGY LTD","all",350
"727","OCEAN RIG UDW","all",346.1
"728","COPANO ENERGY","all",331.5
"729","PBF LOGISTICS LP","all",330.1
"730","GASTAR EXPLORAT","all",325
"731","SOURCEGAS","all",325
"732","WELLTEC A/S","all",325
"733","DENVER PARENT","all",323
"734","GAS NATURAL","all",320
"735","VENOCO INC","all",308.2
"736","ANR PIPELINE","all",300
"737","APACHE FIN CAN","all",300
"738","GLOBAL MARINE","all",300
"739","HOLLY ENERGY PAR","all",300
"740","ITHACA ENERGY","all",300
"741","PIONEER ENERGY S","all",300
"742","SEMCO ENERGY INC","all",300
"743","SEMGROUP CORP","all",300
"744","SOUTH NA GAS/ISS","all",300
"745","TALOS PRODUCTION","all",300
"746","FORBES ENERGY","all",280
"747","NORTH BLIZZARD","all",276.2
"748","QUESTAR MARKET","all",270
"749","CASH","all",254.128
"750","LIGHTSTREAM","all",253.9
"751","BELLATRIX EXPL","all",250
"752","ENOGEX LLC","all",250
"753","IFM US COLONIAL","all",250
"754","LACLEDE GAS CO","all",250
"755","LACLEDE GROUP","all",250
"756","NORTH BORDER PIP","all",250
"757","NORTHERN NAT GAS","all",250
"758","NORTHWEST PIPELN","all",250
"759","QUESTAR PIPELINE","all",250
"760","SEITEL INC","all",250
"761","SIDEWINDER DRILL","all",250
"762","WESTERN ATLAS","all",250
"763","APPROACH RESOURC","all",245
"764","AMER ENERGY - WO","all",237.6
"765","LONESTAR RES AME","all",220
"766","ENERGY PARTNERS","all",213.6
"767","SEACOR HOLDINGS","all",211
"768","IRONGATE ENRGY","all",210
"769","RSP PERMIAN INC","all",200
"770","PERMIAN HOLDINGS","all",184.3
"771","FERRELLGAS","all",182
"772","ION GEOPHYSICAL","all",175
"773","WARREN RESOURCES","all",167.2
"774","ERA GROUP INC","all",149.8
"775","PETROQUEST ENERG","all",135.6
"776","IRACORE INTL HLD","all",125
"777","GOODRICH PETROLE","all",116.7
"778","SIERRA HAM LLC/F","all",110
